date,week,location,latitude,longitude,location_type,location_id,location_name,collective_bargaining,education,environment,executive,guns,healthcare,immigration,police,race_confed,supreme_court,women,other
1/21/17,1/16/17,"Redwood City, CA",37.485,-122.236,CBSA,41860,"San Francisco-Oakland-Hayward, CA",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Binghamton, NY",42.099,-75.918,CBSA,13780,"Binghamton, NY",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Charleston, WV",38.35,-81.633,CBSA,16620,"Charleston, WV",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Columbia, SC",34.001,-81.035,CBSA,17900,"Columbia, SC",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Hudson, NY",42.253,-73.791,CBSA,26460,"Hudson, NY",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Jacksonville, FL",30.332,-81.656,CBSA,27260,"Jacksonville, FL",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Syracuse, NY",43.048,-76.147,CBSA,45060,"Syracuse, NY",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Salem, OR",44.943,-123.035,CBSA,41420,"Salem, OR",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Norfolk, VA",36.851,-76.286,CBSA,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Ventura, CA",34.275,-119.229,CBSA,37100,"Oxnard-Thousand Oaks-Ventura, CA",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Charlottesville, VA",38.029,-78.477,CBSA,16820,"Charlottesville, VA",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Walla Walla, WA",46.065,-118.343,CBSA,47460,"Walla Walla, WA",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"San Antonio, TX",29.424,-98.494,CBSA,41700,"San Antonio-New Braunfels, TX",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Charleston, SC",32.776,-79.931,CBSA,16700,"Charleston-North Charleston, SC",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"East Liberty, PA",40.464,-79.926,CBSA,38300,"Pittsburgh, PA",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Fairbanks, AK",64.838,-147.716,CBSA,21820,"Fairbanks, AK",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Fresno, CA",36.747,-119.773,CBSA,23420,"Fresno, CA",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Greenfield, MA",42.588,-72.599,CBSA,24640,"Greenfield Town, MA",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Greenville, SC",34.853,-82.394,CBSA,24860,"Greenville-Anderson-Mauldin, SC",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Pensacola, FL",30.421,-87.217,CBSA,37860,"Pensacola-Ferry Pass-Brent, FL",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Port Jefferson, NY",40.946,-73.069,CBSA,35620,"New York-Newark-Jersey City, NY-NJ-PA",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Redondo Beach, CA",33.849,-118.388,CBSA,31080,"Los Angeles-Long Beach-Anaheim, CA",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Richmond, VA",37.541,-77.436,CBSA,40060,"Richmond, VA",0,0,0,0,0,0,0,0,0,0,1,0
