topic,count,perc_of_state_protest,state,percentile,high_low
supreme_court,6,0.0057,FL,0.14285714285714285,middle
supreme_court,7,0.0315,UT,0.8571428571428571,middle
supreme_court,22,0.0088,CA,0.3333333333333333,middle
supreme_court,10,0.0488,VT,0.9761904761904762,high
supreme_court,4,0.0083,MN,0.2619047619047619,middle
supreme_court,4,0.0081,VA,0.23809523809523808,middle
supreme_court,6,0.0155,WI,0.6428571428571429,middle
supreme_court,3,0.0077,MO,0.21428571428571427,middle
supreme_court,6,0.0119,CO,0.47619047619047616,middle
supreme_court,1,0.003,GA,0.047619047619047616,low
supreme_court,11,0.0114,PA,0.4523809523809524,middle
supreme_court,15,0.01,NY,0.35714285714285715,middle
supreme_court,3,0.005,IL,0.07142857142857142,low
